Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
SPR,23.12,Call,45,2020-10-16,66,0.45,0.55,0.65,0.53,2680,303,8.84,110.51%,N/A,2020-08-11
QCOM,108.83,Call,112,2020-08-14,3,0.69,0.86,1.02,0.77,8278,936,8.84,49.01%,N/A,2020-08-11
NFLX,469,Call,475,2020-08-14,3,3.8,4,4.2,4.08,5893,679,8.68,43.50%,N/A,2020-08-11
KODK,10.01,Call,5,2021-01-15,157,6,6.2,6.4,6.1,1235,143,8.64,161.96%,N/A,2020-08-11
GRPN,25.4,Call,27,2020-08-14,3,0.13,0.3,0.46,0.44,2627,305,8.61,111.01%,N/A,2020-08-11
NFLX,469,Call,480,2020-08-14,3,2.58,2.67,2.75,2.67,4176,486,8.59,43.43%,N/A,2020-08-11
PAAS,32.04,Put,32,2020-09-18,38,2.55,2.7,2.85,2.78,2215,259,8.55,68.65%,N/A,2020-08-11
MA,328.54,Call,337.5,2020-08-14,3,1.04,1.31,1.57,1.29,1195,140,8.54,36.37%,N/A,2020-08-11
AMZN,3080.67,Call,3110,2020-08-14,3,27.3,29.43,31.55,28.6,1481,174,8.51,37.07%,N/A,2020-08-11
ZM,232.25,Put,225,2020-08-14,3,3.5,3.6,3.7,3.57,4232,500,8.46,74.36%,N/A,2020-08-11
WFC,25.32,Put,25.5,2020-08-21,10,0.76,0.79,0.83,0.82,7353,869,8.46,43.61%,N/A,2020-08-11
GLW,32.3,Put,32,2020-08-21,10,0.44,0.51,0.57,0.5,910,108,8.43,30.34%,N/A,2020-08-11
NCLH,15.64,Put,15.5,2020-08-14,3,0.49,0.52,0.55,0.51,2610,310,8.42,102.70%,N/A,2020-08-11
W,309.13,Call,345,2020-08-14,3,1.05,1.35,1.65,1.28,1313,156,8.42,93.58%,N/A,2020-08-11
CAT,142.53,Call,146,2020-08-14,3,0.42,0.5,0.58,0.45,1153,137,8.42,31.16%,N/A,2020-08-11
WYNN,88.29,Call,87,2020-08-14,3,3.15,3.7,4.25,3.4,971,116,8.37,85.22%,N/A,2020-08-11
CHWY,50.61,Put,51,2020-08-21,10,2.1,2.21,2.32,2.23,1493,179,8.34,60.81%,N/A,2020-08-11
CCL,15.82,Call,25,2020-08-28,17,0.09,0.12,0.14,0.12,1069,129,8.29,129.96%,N/A,2020-08-11
XOM,44.97,Call,48,2020-08-21,10,0.07,0.1,0.12,0.11,3230,392,8.24,30.48%,N/A,2020-08-11
XOM,44.97,Call,44.5,2020-09-04,24,1.25,1.33,1.41,1.3,2613,317,8.24,22.43%,N/A,2020-08-11
PLAY,15.95,Call,17,2020-08-21,10,0.55,0.63,0.7,0.56,2180,265,8.23,91.70%,N/A,2020-08-11
INO,14.62,Call,17,2020-08-14,3,0.22,0.25,0.27,0.27,2695,328,8.22,186.14%,N/A,2020-08-11
W,309.13,Call,325,2020-08-14,3,3.7,4.95,6.2,4.28,1067,130,8.21,90.06%,N/A,2020-08-11
SHOP,971.99,Put,1000,2020-09-18,38,82.3,83.9,85.5,82,1015,124,8.19,53.57%,N/A,2020-08-11
NKE,105.12,Put,103,2020-08-14,3,0.5,0.58,0.66,0.53,2052,252,8.14,35.43%,N/A,2020-08-11
AMZN,3080.67,Call,3150,2020-08-14,3,15.3,16.15,17,16.5,7081,871,8.13,37.59%,N/A,2020-08-11
V,197.77,Put,202.5,2020-08-14,3,5.4,6.1,6.8,5.55,872,108,8.07,34.94%,N/A,2020-08-11
BA,180.13,Call,225,2020-08-14,3,0.12,0.31,0.5,0.31,2990,372,8.04,133.02%,N/A,2020-08-11
KGC,8.54,Put,7,2022-01-21,528,0.84,1.42,1.99,1.4,2016,251,8.03,59.15%,N/A,2020-08-11
INO,14.62,Call,18,2020-08-14,3,0.16,0.19,0.21,0.18,1912,238,8.03,198.85%,N/A,2020-08-11
FSLR,70.19,Call,71,2020-08-14,3,0.59,0.86,1.13,1.02,887,112,7.92,54.23%,N/A,2020-08-11
CVX,89.62,Put,60,2020-09-18,38,0.04,0.08,0.12,0.11,3390,430,7.88,61.18%,N/A,2020-08-11
BA,180.13,Call,187.5,2020-08-21,10,3.95,4.13,4.3,4.05,3226,411,7.85,58.64%,N/A,2020-08-11
AIG,31.98,Put,32,2020-08-14,3,0.32,0.45,0.59,0.52,3125,398,7.85,44.23%,N/A,2020-08-11
SEAS,18.12,Call,18.5,2020-08-21,10,0.75,0.88,1,1,908,117,7.76,97.49%,N/A,2020-08-11
VZ,58.51,Put,56,2020-09-04,24,0.29,0.37,0.45,0.32,1016,132,7.7,20.25%,N/A,2020-08-11
FSLY,74.96,Call,75,2020-08-14,3,2.65,2.83,3,2.9,889,116,7.66,107.57%,N/A,2020-08-11
COOP,18.94,Call,20,2021-01-15,157,2.35,2.6,2.85,2.6,2911,381,7.64,60.45%,N/A,2020-08-11
UNH,315.55,Put,315,2020-08-14,3,1.72,2.86,4,3.7,1367,179,7.64,34.95%,N/A,2020-08-11
QCOM,108.83,Call,115,2020-08-14,3,0.33,0.37,0.41,0.37,13810,1811,7.63,54.55%,N/A,2020-08-11
RTX,64.26,Call,66,2020-08-14,3,0.23,0.3,0.37,0.3,3567,470,7.59,38.96%,N/A,2020-08-11
NVAX,149.48,Call,177.5,2020-08-14,3,1.03,1.31,1.59,1.23,1684,223,7.55,155.16%,N/A,2020-08-11
NVAX,149.48,Call,160,2020-08-14,3,3.4,3.83,4.25,3.9,1513,201,7.53,144.72%,N/A,2020-08-11
JPM,103.82,Call,110,2020-08-14,3,0.13,0.15,0.17,0.15,11707,1568,7.47,44.66%,N/A,2020-08-11
AER,32.87,Call,42.5,2020-12-18,129,1.6,1.9,2.2,2.38,859,115,7.47,67.47%,N/A,2020-08-11
FB,256.13,Put,270,2020-12-18,129,33.05,33.58,34.1,33.56,967,130,7.44,43.16%,N/A,2020-08-11
UBER,31.21,Call,32,2020-08-14,3,0.2,0.3,0.39,0.37,8974,1207,7.43,60.68%,N/A,2020-08-11
DAL,29.64,Put,30,2020-08-14,3,0.86,1.03,1.2,0.9,1858,251,7.4,65.60%,N/A,2020-08-11
KO,47.93,Put,50,2020-10-16,66,3.2,3.28,3.35,3.35,4108,556,7.39,27.03%,N/A,2020-08-11
JPM,103.82,Put,102,2020-08-21,10,1.5,1.6,1.69,1.6,1365,185,7.38,35.56%,N/A,2020-08-11
IBN,10.14,Call,10,2021-03-19,220,1.3,1.43,1.55,1.31,1000,136,7.35,38.68%,N/A,2020-08-11
WYNN,88.29,Call,89,2020-08-14,3,2.22,3.14,4.05,2.49,794,108,7.35,88.18%,N/A,2020-08-11
AAPL,439.55,Put,460,2020-12-18,129,51.1,52.28,53.45,52.15,1100,151,7.28,38.87%,N/A,2020-08-11
CAT,142.53,Put,130,2020-09-18,38,1.58,1.69,1.79,1.73,2410,334,7.22,34.77%,N/A,2020-08-11
VSTM,1.45,Put,1,2021-01-15,157,0.05,0.2,0.35,0.2,2172,301,7.22,125.52%,N/A,2020-08-11
OXY,15.16,Call,27,2022-01-21,528,1.23,1.51,1.78,1.35,3548,493,7.2,53.78%,N/A,2020-08-11
